ID Encuestado;Alimento;Puntuacion
216;MELON;7.38
217;NARANJAS;9.24
218;MANZANAS;9.2
219;PATATAS FRESCAS;4.91
220;PATATAS FRESCAS;2
221;PLÁTANOS;7.13
222;MANDARINAS;4.97
223;FRESA;7.23
224;MANZANAS;7.58
225;KIWI;8.9
226;UVA;5.59
227;MELOCOTONES;9.37
228;MELON;9.08
229;TOMATES;5.56
230;MELON;5.63
231;MANZANAS;6.44
232;PATATAS FRESCAS;6.23
233;PATATAS FRESCAS;7.15
234;SANDÍA;7.56
235;NARANJAS;7
236;PATATAS FRESCAS;8.64
237;MANZANAS;7.47
238;CIRUELA;8.18
239;CIRUELA;7.99
240;PATATAS FRESCAS;5.29
241;PLÁTANOS;4.72
242;PLÁTANOS;8.94
243;NARANJAS;6.6
244;LIMONES;7.32
245;MELON;7.51
246;PERAS;6.02
247;PIMIENTOS;7.83
248;MANZANAS;7.34
249;TOMATES;5.59
250;SANDÍA;8
251;SANDÍA;6.18
252;LIMONES;6.37
253;KIWI;7.74
254;SANDÍA;7.76
255;LECHUGA;5.69
256;LECHUGA;4.67
257;MANZANAS;5.68
258;FRESA;7
259;PLÁTANOS;6.15
260;JUDIAS VERDES;7.08
261;LECHUGA;7.02
262;NARANJAS;3
263;NARANJAS;4
264;NARANJAS;7.37
265;MELOCOTONES;6.16
266;KIWI;7.67
267;TOMATES;6.08
268;PLÁTANOS;5.29
269;CEREZA;9.28
270;MANZANAS;5.68
271;MANZANAS;7.06
272;PERAS;4.72
273;TOMATES;6.28
274;CEBOLLAS;7.34
275;TOMATES;2
276;UVA;6.29
277;PLÁTANOS;5.63
278;CEREZA;5.36
279;TOMATES;7.45
280;PLÁTANOS;7.75
281;JUDIAS VERDES;7.41
282;KIWI;5.58
283;MELON;6.12
284;PATATAS FRESCAS;9.27
285;JUDIAS VERDES;7.12
286;NARANJAS;8.57
287;CIRUELA;7.25
288;FRESA;6.4
289;PATATAS FRESCAS;5.04
290;TOMATES;5.99
291;MELON;6.92
292;PATATAS FRESCAS;6.02
293;PERAS;8.06
294;CEBOLLAS;4.55
295;SANDÍA;6.38
296;PLÁTANOS;4.94
297;PLÁTANOS;8.59
298;COLES;6.14
299;LIMONES;4.9
300;PERAS;8.37
301;JUDIAS VERDES;6.8
302;SANDÍA;7.7
303;ALBARICOQUE;5.49
304;PLÁTANOS;5.06
305;TOMATES;8.01
306;SANDÍA;8.3
307;MANZANAS;7.3
308;SANDÍA;6.1
309;NARANJAS;5.01
310;NARANJAS;6
311;PLÁTANOS;9.16
312;TOMATES;9.01
313;PIMIENTOS;5.63
314;PIMIENTOS;5.05
315;MANDARINAS;4.58
316;PLÁTANOS;4.96
317;CEBOLLAS;7.11
318;MELOCOTONES;5.6
319;PLÁTANOS;5.01
320;PATATAS FRESCAS;9
321;COLES;8.57
322;MANZANAS;5.04
323;SANDÍA;7.05
324;CEBOLLAS;5.62
325;MANZANAS;5.11
326;PLÁTANOS;8.38
327;PATATAS FRESCAS;8.45
328;PLÁTANOS;7.41
329;TOMATES;9.34
330;PATATAS FRESCAS;7.86
331;KIWI;7.04
332;MANZANAS;6.71
333;PLÁTANOS;8.32
334;PERAS;5.19
335;NARANJAS;6.55
336;PERAS;6.5
337;MELOCOTONES;9.07
338;PATATAS FRESCAS;7.52
339;LIMONES;9.17
340;MANDARINAS;8.1
341;TOMATES;9.31
342;MELOCOTONES;7.18
343;NARANJAS;8.73
344;MELON;8.4
345;PATATAS FRESCAS;7.24
346;CIRUELA;7.9
347;MELOCOTONES;5.26
348;MELOCOTONES;4.66
349;PIMIENTOS;4.98
350;PATATAS FRESCAS;5.63
351;PLÁTANOS;4.58
352;MELON;8.19
353;NARANJAS;6
354;MELOCOTONES;6.27
355;CEBOLLAS;4.85
356;SANDÍA;5.07
357;MANDARINAS;7.04
358;CEBOLLAS;5.73
359;MELON;7.69
360;MANZANAS;9.05
361;LECHUGA;5.53
362;LIMONES;5.21
363;MANDARINAS;6.13
364;LECHUGA;5.59
365;TOMATES;5.27
366;NARANJAS;8.09
367;PLÁTANOS;6.84
368;MANZANAS;6.35
369;MANZANAS;8.62
370;KIWI;5.45
371;SANDÍA;5.42
372;MANZANAS;7.82
373;PLÁTANOS;5.02
374;KIWI;5.97
375;MANDARINAS;6.22
376;NARANJAS;8.06
377;MELON;7.71
378;CEBOLLAS;6.34
379;CEBOLLAS;7.35
380;FRESA;7.94
381;PATATAS FRESCAS;2
382;CEBOLLAS;4.51
383;MANDARINAS;5.32
384;MELON;9.32
385;LECHUGA;4.6
386;JUDIAS VERDES;8.45
387;PATATAS FRESCAS;5.32
388;NARANJAS;6
389;MANZANAS;4.5
390;PERAS;6.05
391;CEBOLLAS;8.03
392;PATATAS FRESCAS;5.98
393;LIMONES;5.43
394;PATATAS FRESCAS;8.66
395;PATATAS FRESCAS;7.05
396;UVA;9.14
397;JUDIAS VERDES;8.2
398;SANDÍA;7.45
399;PATATAS FRESCAS;6.14
400;MELON;7.5
401;LIMONES;7.68
402;MELON;5.52
403;FRESA;5.01
404;CEBOLLAS;9.42
405;FRESA;6.98
406;MANZANAS;6.47
407;CIRUELA;7.88
408;CIRUELA;7.24
409;MELOCOTONES;6.43
410;COLES;8.39
411;PLÁTANOS;5.86
412;PATATAS FRESCAS;7.57
413;PATATAS FRESCAS;6.66
414;JUDIAS VERDES;7.3
415;PATATAS FRESCAS;6.31
416;MELOCOTONES;7.09
417;LIMONES;7.52
418;PATATAS FRESCAS;6.08
419;COLES;6.51
420;PATATAS FRESCAS;7.89
421;TOMATES;5.16
422;MELON;5.31
423;MELON;4.6
424;MANZANAS;9.21
425;PATATAS FRESCAS;3
426;MELON;7.04
427;MANZANAS;6.33
428;MANZANAS;6.29
429;MANZANAS;7.01
430;LECHUGA;6.5
431;TOMATES;2
432;PLÁTANOS;9.09
433;MELON;7.85
434;TOMATES;8.92
435;CIRUELA;5.34
436;PLÁTANOS;7.13
437;PATATAS FRESCAS;6.73
438;LIMONES;7.51
439;NARANJAS;8.82
440;SANDÍA;8.72
441;LECHUGA;7.95
442;TOMATES;9.1
443;CEREZA;8.44
444;CEREZA;7.46
445;JUDIAS VERDES;8.81
446;MANDARINAS;4.92
447;MANDARINAS;8.11
448;KIWI;5.03
449;KIWI;8.66
450;PLÁTANOS;6.22
451;MANDARINAS;8.6
452;FRESA;4.97
453;CEBOLLAS;8.46
454;NARANJAS;6
455;CEBOLLAS;8.42
456;PATATAS FRESCAS;4.94
457;FRESA;5.37
458;CIRUELA;5.99
459;UVA;8.62
460;PERAS;6.32
461;PATATAS FRESCAS;6.15
462;NARANJAS;6
463;NARANJAS;8.73
464;PATATAS FRESCAS;6.7
465;MANZANAS;8.79
466;PATATAS FRESCAS;5
467;MANDARINAS;7.01
468;MANDARINAS;8.62
469;UVA;4.89
470;SANDÍA;4.73
471;PIMIENTOS;6.22
472;CEBOLLAS;5.6
473;FRESA;5.74
474;MANDARINAS;7.26
475;MANZANAS;7.35
476;PATATAS FRESCAS;8.56
477;PERAS;5.82
478;PLÁTANOS;6.23
479;PLÁTANOS;4.86
480;SANDÍA;8.97
481;FRESA;5.8
482;PATATAS FRESCAS;6.47
483;MANDARINAS;5.2
484;LECHUGA;4.5
485;FRESA;5.77
486;PLÁTANOS;5.31
487;MANZANAS;6.39
488;FRESA;7
489;PATATAS FRESCAS;5.86
490;MELON;5.55
491;PERAS;8.76
492;SANDÍA;8.39
493;NARANJAS;6
494;PATATAS FRESCAS;1
495;MANZANAS;6.13
496;PATATAS FRESCAS;8.06
497;CEREZA;6.94
498;LECHUGA;9.5
499;PATATAS FRESCAS;3
500;NARANJAS;6
501;SANDÍA;8.45
502;PATATAS FRESCAS;7.71
503;PATATAS FRESCAS;5.86
504;PATATAS FRESCAS;8.27
505;COLES;9.34
506;MANDARINAS;5.26
507;PLÁTANOS;9.09
508;MANZANAS;8.9
509;MELON;6.95
510;TOMATES;7.15
511;FRESA;6.11
512;LIMONES;5.08
513;PERAS;7.23
514;LIMONES;8.93
515;PATATAS FRESCAS;5.32
516;NARANJAS;7.25
517;SANDÍA;6.48
518;PERAS;8.48
519;SANDÍA;8.25
520;MANDARINAS;5.29
521;MANZANAS;6.56
522;JUDIAS VERDES;5.8
523;FRESA;4.95
524;PLÁTANOS;9.34
525;LIMONES;5.87
526;LIMONES;5.1
527;PIMIENTOS;6.98
528;PIMIENTOS;9.4
529;MANZANAS;5.6
530;FRESA;6.13
531;PLÁTANOS;5.51
532;NARANJAS;6.09
533;MELOCOTONES;9.46
534;FRESA;7.26
535;LIMONES;4.86
536;CEBOLLAS;4.82
537;CIRUELA;8.09
538;LECHUGA;5.77
539;MANDARINAS;9.06
540;TOMATES;6.49
541;KIWI;5.08
542;PATATAS FRESCAS;7.35
543;PATATAS FRESCAS;8.58
544;PATATAS FRESCAS;6.64
545;MANDARINAS;9.24
546;NARANJAS;6.72
547;MANDARINAS;5.28
548;CIRUELA;4.61
549;PERAS;6.8
550;LIMONES;4.65
551;MANZANAS;5.01
552;JUDIAS VERDES;9.32
553;PLÁTANOS;4.61
554;PLÁTANOS;8.17
555;MELON;5.48
556;LIMONES;6.18
557;PERAS;6.91
558;PATATAS FRESCAS;6.49
559;FRESA;8.28
560;PATATAS FRESCAS;1
561;PATATAS FRESCAS;6.15
562;MANZANAS;9.34
563;FRESA;8.97
564;CEBOLLAS;9.28
565;PATATAS FRESCAS;9.09
566;PATATAS FRESCAS;5.26
567;KIWI;5.02
568;FRESA;4.72
569;PATATAS FRESCAS;8.27
570;PERAS;7.86
571;LECHUGA;6.37
572;PERAS;7.67
573;FRESA;7.85
574;PATATAS FRESCAS;8.14
575;MELON;6.58
576;LECHUGA;6.79
577;JUDIAS VERDES;7.76
578;KIWI;6.79
579;FRESA;4.95
580;LIMONES;8.42
581;CEREZA;5.67
582;TOMATES;2
583;LIMONES;6.47
584;KIWI;9.45
585;TOMATES;8.95
586;KIWI;6.87
587;CEBOLLAS;6.87
588;PLÁTANOS;5.73
589;LIMONES;8.65
590;SANDÍA;8.74
591;MELON;6.74
592;MANDARINAS;6
593;PIMIENTOS;8.74
594;MANZANAS;8.25
595;SANDÍA;6.86
596;PATATAS FRESCAS;7.22
597;LECHUGA;6.05
598;MELON;6.5
599;PLÁTANOS;9.4
600;MANDARINAS;7.09
601;CEREZA;9.14
602;PATATAS FRESCAS;5.46
603;PERAS;7.28
604;NARANJAS;6
605;TOMATES;7.26
606;PLÁTANOS;4.78
607;MELON;5.03
608;MELOCOTONES;5.09
609;PATATAS FRESCAS;7.25
610;SANDÍA;6.32
611;PATATAS FRESCAS;9.46
612;MELON;5.74
613;FRESA;7
614;PLÁTANOS;7.94
615;PATATAS FRESCAS;5.6
616;MANZANAS;8.69
617;MANZANAS;4.61
618;NARANJAS;8.44
619;MANZANAS;5.57
620;KIWI;5.64
621;MELON;6.59
622;NARANJAS;5.23
623;MANDARINAS;4.78
624;JUDIAS VERDES;8.65
625;PIMIENTOS;5.07
626;TOMATES;9.08
627;LECHUGA;7.2
628;MANDARINAS;7.9
629;LIMONES;9.45
630;MELON;7.92
631;SANDÍA;7.55
632;SANDÍA;5.55
633;TOMATES;7.71
634;KIWI;9.09
635;MANZANAS;5.78
636;TOMATES;5.76
637;LECHUGA;8.63
638;MELON;9.22
639;PIMIENTOS;6.34
640;TOMATES;4.7
641;FRESA;6.34
642;FRESA;8.23
643;LECHUGA;5.02
644;PATATAS FRESCAS;5.3
645;MANZANAS;5.11
646;PATATAS FRESCAS;5.69
647;MELOCOTONES;8.34
648;MANZANAS;6.48
649;PLÁTANOS;4.94
650;MELON;4.96
651;CEREZA;7.56
652;MANZANAS;7.52
653;NARANJAS;9.48
654;SANDÍA;5.67
655;SANDÍA;8.29
656;PATATAS FRESCAS;9.16
657;PATATAS FRESCAS;6.62
658;MELON;4.98
659;PIMIENTOS;6.98
660;PLÁTANOS;9.08
661;ALBARICOQUE;7.15
662;MANZANAS;5.45
663;SANDÍA;6.68
664;ALBARICOQUE;8.85
665;LECHUGA;5.9
666;PLÁTANOS;5.42
667;MELON;6.99
668;PATATAS FRESCAS;8.21
669;CIRUELA;6.09
670;SANDÍA;7.17
671;PLÁTANOS;5.55
672;UVA;5.66
673;CEBOLLAS;7.74
674;PERAS;9.03
675;LECHUGA;5.32
676;PATATAS FRESCAS;7
677;PATATAS FRESCAS;8.87
678;PATATAS FRESCAS;9.22
679;PATATAS FRESCAS;4.73
680;FRESA;6.36
681;TOMATES;4
682;CEBOLLAS;7.93
683;PATATAS FRESCAS;8.29
684;LECHUGA;7.11
685;PATATAS FRESCAS;8.65
686;PLÁTANOS;6.11
687;CEBOLLAS;9
688;MELON;8.2
689;TOMATES;7.7
690;TOMATES;9.46
691;CEREZA;9.44
692;FRESA;9.16
693;PATATAS FRESCAS;5.3
694;MELOCOTONES;6.5
695;FRESA;8.95
696;MELOCOTONES;6.88
697;COLES;6.74
698;NARANJAS;5.82
699;NARANJAS;6
700;NARANJAS;9.08
701;LECHUGA;7.58
702;PATATAS FRESCAS;4.88
703;CEBOLLAS;6.9
704;PLÁTANOS;6.98
705;SANDÍA;5.68
706;PATATAS FRESCAS;6.76
707;PERAS;7.17
708;JUDIAS VERDES;6.26
709;PLÁTANOS;9.3
710;NARANJAS;7.75
711;UVA;6.5
712;PIMIENTOS;6.17
713;NARANJAS;5.32
714;TOMATES;9.22
715;NARANJAS;5.91
716;JUDIAS VERDES;8.7
717;PLÁTANOS;4.92
718;SANDÍA;4.92
719;MANDARINAS;5.94
720;PIMIENTOS;6.8
721;PATATAS FRESCAS;6.15
722;LECHUGA;5.49
723;MANZANAS;5.8
724;NARANJAS;5.59
725;LIMONES;6.76
726;TOMATES;5.09
727;PERAS;7.83
728;PATATAS FRESCAS;6.15
729;PATATAS FRESCAS;5.43
730;SANDÍA;9.29
731;LECHUGA;7.32
732;JUDIAS VERDES;9.36
733;TOMATES;6.77
734;TOMATES;9.09
735;JUDIAS VERDES;5.19
736;FRESA;7.38
737;KIWI;8.88
738;FRESA;6.56
739;MELON;7.66
740;LIMONES;4.79
741;NARANJAS;4.61
742;MELOCOTONES;7.54
743;LECHUGA;9.2
744;TOMATES;2
745;PATATAS FRESCAS;8.23
746;JUDIAS VERDES;7.64
747;SANDÍA;5.77
748;FRESA;5.37
749;PATATAS FRESCAS;6.25
750;SANDÍA;9.18
751;FRESA;7.43
752;SANDÍA;8.3
753;MANDARINAS;4.85
754;MANZANAS;4.63
755;KIWI;6.65
756;MANZANAS;5.42
757;MANZANAS;6.32
758;SANDÍA;6.14
759;CIRUELA;6.81
760;SANDÍA;5.97
761;TOMATES;9.29
762;TOMATES;9.15
763;MELON;5.87
764;MELON;9.34
765;SANDÍA;5.83
766;PERAS;6.37
767;LIMONES;6.72
768;TOMATES;5.07
769;CEBOLLAS;9.13
770;TOMATES;6.05
771;PATATAS FRESCAS;6.41
772;TOMATES;8.32
773;PATATAS FRESCAS;8.62
774;LECHUGA;5.98
775;NARANJAS;8.52
776;MANZANAS;9.34
777;PATATAS FRESCAS;6.38
778;LIMONES;5.94
779;FRESA;7
780;KIWI;8.6
781;SANDÍA;5.07
782;PATATAS FRESCAS;7.8
783;MANDARINAS;8.69
784;TOMATES;6.78
785;MANZANAS;4.7
786;PATATAS FRESCAS;6.56
787;CEBOLLAS;6.49
788;TOMATES;4
789;PATATAS FRESCAS;8.8
790;CEBOLLAS;6.63
791;TOMATES;7.2
792;JUDIAS VERDES;8.98
793;MANZANAS;6.76
794;TOMATES;8.46
795;MANZANAS;7.91
796;LECHUGA;8.02
797;MANZANAS;9.37
798;MELOCOTONES;9.2
799;PERAS;8.3
800;TOMATES;7.82
801;CEBOLLAS;7.38
802;MANZANAS;6.5
803;CEREZA;4.58
804;MANZANAS;5.27
805;MANZANAS;4.53
806;MANZANAS;8.58
807;PATATAS FRESCAS;6.03
808;TOMATES;4
809;MANZANAS;5.58
810;PLÁTANOS;4.61
811;LECHUGA;9.01
812;PIMIENTOS;6.58
813;TOMATES;8.55
814;PLÁTANOS;8.89
815;TOMATES;6.84
816;MANDARINAS;6.29
817;LECHUGA;5.98
818;SANDÍA;4.67
819;MELON;9.4
820;NARANJAS;10
821;LIMONES;8.89
822;PIMIENTOS;6.16
823;LECHUGA;8.98
824;TOMATES;8.76
825;SANDÍA;9.45
826;PIMIENTOS;5.19
827;PATATAS FRESCAS;8.49
828;FRESA;5.46
829;PIMIENTOS;7.33
830;MANDARINAS;7.75
831;MANZANAS;5.01
832;JUDIAS VERDES;6.4
833;MANDARINAS;6.95
834;NARANJAS;9.16
835;CEBOLLAS;8.14
836;KIWI;9.15
837;LECHUGA;5.73
838;MANZANAS;5.04
839;CEBOLLAS;7.67
840;LECHUGA;9.28
841;MANZANAS;8.26
842;NARANJAS;8.43
843;NARANJAS;7.44
844;MANZANAS;4.79
845;PIMIENTOS;4.66
846;SANDÍA;7.84
847;MELOCOTONES;7.62
848;PATATAS FRESCAS;4.72
849;LIMONES;5.99
850;LECHUGA;4.57
851;FRESA;8.66
852;KIWI;5.56
853;CIRUELA;9
854;PATATAS FRESCAS;8.24
855;MANDARINAS;5.36
856;SANDÍA;7.49
857;MANDARINAS;8.09
858;PATATAS FRESCAS;6.54
859;PATATAS FRESCAS;8.17
860;MELON;6.67
861;SANDÍA;8.97
862;FRESA;7
863;PLÁTANOS;5.08
864;MANZANAS;8.55
865;SANDÍA;5.49
866;MELOCOTONES;7.3
867;PATATAS FRESCAS;7.77
868;PATATAS FRESCAS;6.5
869;NARANJAS;9.2
870;LECHUGA;4.98
871;TOMATES;3
872;FRESA;8.05
873;FRESA;5.72
874;MELON;5.42
875;FRESA;5.5
876;CEBOLLAS;6.84
877;NARANJAS;6.38
878;LECHUGA;6.34
879;JUDIAS VERDES;7.34
880;PLÁTANOS;8.15
881;MELON;8.04
882;LIMONES;6.19
883;SANDÍA;7.35
884;PATATAS FRESCAS;4.77
885;MELON;7.38
886;MANDARINAS;7.79
887;LIMONES;5.33
888;KIWI;7.68
889;SANDÍA;7.15
890;MELOCOTONES;4.86
891;PATATAS FRESCAS;7.71
892;MELON;5.06
893;MELOCOTONES;9.29
894;MANDARINAS;6
895;PIMIENTOS;8.1
896;MANZANAS;5.33
897;MANDARINAS;8.67
898;MELON;8.16
899;NARANJAS;6.56
900;PATATAS FRESCAS;4.99
901;JUDIAS VERDES;6.75
902;SANDÍA;8.92
903;MELON;4.92
904;MELON;7.08
905;LECHUGA;6.54
906;MANZANAS;7.77
907;KIWI;7.36
908;SANDÍA;5.67
909;PATATAS FRESCAS;7.56
910;FRESA;7
911;TOMATES;5.34
912;PLÁTANOS;8.03
913;KIWI;6.75
914;CEREZA;7.36
915;SANDÍA;5.87
916;TOMATES;8.27
917;PERAS;8.86
918;CIRUELA;7.23
919;KIWI;6.69
920;PLÁTANOS;8.19
921;NARANJAS;10
922;MANZANAS;7.75
923;MANZANAS;7.27
924;JUDIAS VERDES;7.35
925;PIMIENTOS;6.08
926;SANDÍA;4.68
927;CEREZA;7.51
928;NARANJAS;5.85
929;TOMATES;3
930;MANZANAS;5.46
931;PLÁTANOS;5.15
932;SANDÍA;8.77
933;MANZANAS;8.7
934;LECHUGA;7.46
935;CIRUELA;6.46
936;CEBOLLAS;7.73
937;CIRUELA;8.42
938;MANZANAS;6.74
939;CIRUELA;6.42
940;MANDARINAS;8.36
941;SANDÍA;7.63
942;TOMATES;8.51
943;LECHUGA;6.85
944;MELOCOTONES;8.94
945;FRESA;5.95
946;MELON;6.82
947;FRESA;6.93
948;MANDARINAS;5.06
949;UVA;5.93
950;CEBOLLAS;7.71
951;PLÁTANOS;7.13
952;PLÁTANOS;8.2
953;FRESA;8.88
954;MELOCOTONES;7.73
955;PLÁTANOS;5.12
956;MELON;7.66
957;MELON;7.08
958;LECHUGA;7.05
959;MANZANAS;5.05
960;PLÁTANOS;6.09
961;TOMATES;3
962;FRESA;5
963;LECHUGA;5.26
964;MANDARINAS;4.63
965;JUDIAS VERDES;8.79
966;PLÁTANOS;6.21
967;PATATAS FRESCAS;4
968;UVA;6.56
969;CIRUELA;7.6
970;NARANJAS;4.76
971;ALBARICOQUE;5.63
972;JUDIAS VERDES;7.35
973;LECHUGA;7.23
974;COLES;8.6
975;MANDARINAS;7.71
976;SANDÍA;7.08
977;PATATAS FRESCAS;8.73
978;PATATAS FRESCAS;5.78
979;SANDÍA;8.23
980;NARANJAS;7.74
981;CEREZA;4.56
982;MANZANAS;6.94
983;MELON;5.42
984;SANDÍA;4.6
985;MANZANAS;6.71
986;CEREZA;7.15
987;SANDÍA;7.73
988;CEREZA;9.31
989;FRESA;4.83
990;PATATAS FRESCAS;6.15
991;JUDIAS VERDES;9.27
992;LIMONES;6.87
993;PLÁTANOS;5.05
994;NARANJAS;5.64
995;MANDARINAS;8.92
996;TOMATES;6.49
997;CEBOLLAS;5
998;UVA;8.01
999;CEBOLLAS;6.79
1000;PATATAS FRESCAS;6.67
1001;MELOCOTONES;5.86
1002;NARANJAS;7.39
1003;LIMONES;4.53
1004;PLÁTANOS;6.63
1005;NARANJAS;7.76
1006;LECHUGA;7.41
1007;FRESA;6.99
1008;LIMONES;8.3
1009;PATATAS FRESCAS;6.61
1010;CIRUELA;6.1
1011;NARANJAS;10
1012;TOMATES;8.53
1013;FRESA;6.96
1014;PERAS;6.62
1015;PERAS;6.58
1016;LIMONES;6.61
1017;SANDÍA;5.46
1018;PERAS;6.8
1019;MANZANAS;4.59
1020;PATATAS FRESCAS;9.27
1021;PATATAS FRESCAS;6.77
1022;UVA;8.87
1023;MANZANAS;8.95
1024;MELON;4.91
1025;PLÁTANOS;8.5
1026;PATATAS FRESCAS;8.28
1027;FRESA;9.36
1028;MANDARINAS;9.37
1029;JUDIAS VERDES;5.01
1030;MANDARINAS;7.09
1031;LECHUGA;8.37
1032;KIWI;6.72
1033;SANDÍA;8.28
1034;MELON;7.52
1035;PERAS;6.63
1036;UVA;9.31
1037;NARANJAS;6.02
1038;LIMONES;7.32
1039;MELOCOTONES;5.58
1040;MANZANAS;5.04
